Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:16:52:334,0.000,-0.004,-0.003,-0.012,-17.711,139.656,-3.078
11:16:52:334,0.000,0.004,-0.005,-0.005,-17.671,139.718,-3.103
11:16:52:334,0.000,0.012,0.014,0.001,-17.649,139.817,-3.130
11:16:52:356,0.022,0.016,-0.014,0.017,-17.676,139.852,-3.130
11:16:52:384,0.050,-0.005,-0.007,0.030,-17.629,140.048,-3.656
11:16:52:385,0.051,-0.016,0.013,-0.009,-17.459,140.267,-4.424
11:16:52:545,0.211,-0.017,0.032,-0.020,-17.239,140.582,-5.520
11:16:52:546,0.212,-0.008,0.016,0.002,-17.126,140.749,-5.909
11:16:52:547,0.213,0.020,0.004,0.015,-17.078,140.800,-5.911
11:16:52:547,0.213,0.010,0.017,0.002,-16.970,140.852,-5.933
11:16:52:731,0.397,-0.013,0.013,0.012,-16.995,140.702,-5.630
11:16:52:731,0.397,0.002,0.011,-0.001,-17.007,140.637,-5.480
11:16:52:732,0.398,-0.002,0.014,0.005,-16.962,140.607,-5.376
11:16:52:747,0.413,0.003,-0.006,0.009,-16.946,140.624,-5.346
11:16:52:889,0.555,-0.001,-0.003,-0.015,-16.919,140.649,-5.420
11:16:52:889,0.555,-0.012,-0.018,-0.003,-16.904,140.599,-5.372
11:16:52:889,0.555,-0.015,-0.039,-0.009,-16.892,140.597,-5.352
11:16:52:889,0.555,-0.014,-0.014,-0.026,-16.859,140.675,-5.450
11:16:52:907,0.573,0.001,-0.020,0.008,-16.975,140.768,-5.483
11:16:52:908,0.574,-0.024,0.002,-0.016,-17.054,140.923,-5.649
11:16:52:934,0.600,0.014,0.015,0.014,-17.050,141.171,-5.925
11:16:53:044,0.710,0.025,0.014,0.019,-17.037,141.245,-5.894
11:16:53:044,0.710,0.015,0.001,0.016,-16.997,141.319,-5.905
11:16:53:045,0.711,0.018,0.008,0.018,-16.990,141.353,-5.889
11:16:53:046,0.712,0.015,-0.013,0.025,-16.992,141.343,-5.771
11:16:53:061,0.727,0.007,-0.009,0.001,-16.944,141.329,-5.779
11:16:53:091,0.757,0.009,-0.013,0.011,-16.914,141.305,-5.767
11:16:53:172,0.838,0.003,-0.014,0.009,-16.950,141.248,-5.715
11:16:53:172,0.838,0.004,-0.006,0.002,-16.958,141.237,-5.742
11:16:53:197,0.863,0.011,-0.004,0.019,-17.009,141.194,-5.732
11:16:53:246,0.912,0.024,-0.012,0.023,-17.020,141.178,-5.713
11:16:53:644,1.311,-0.022,-0.001,-0.024,-17.541,140.049,-7.209
11:16:53:7,1.367,-0.024,0.031,-0.029,-17.625,140.067,-7.641
11:16:53:7,1.367,0.004,0.018,0.014,-17.724,139.510,-7.585
11:16:53:701,1.368,-0.004,0.031,-0.011,-17.821,139.399,-7.446
11:16:53:702,1.369,-0.015,0.021,-0.018,-17.837,139.330,-7.529
11:16:53:857,1.524,-0.020,0.011,-0.009,-17.874,139.262,-7.453
11:16:53:858,1.525,-0.019,0.001,-0.017,-17.894,139.232,-7.436
11:16:53:858,1.525,-0.023,0.000,-0.031,-17.894,139.217,-7.486
11:16:53:859,1.526,-0.007,-0.010,-0.017,-17.926,139.196,-7.432
11:16:53:964,1.631,-0.003,0.002,-0.002,-18.001,139.349,-7.577
11:16:53:964,1.631,0.011,0.005,0.010,-18.016,139.445,-7.691
11:16:53:965,1.632,0.011,0.009,0.012,-18.068,139.565,-7.851
11:16:54:014,1.681,0.005,0.021,-0.010,-18.099,139.706,-8.174
11:16:54:015,1.682,-0.016,0.025,-0.012,-18.071,139.791,-8.479
11:16:54:015,1.682,-0.006,0.013,-0.011,-17.979,139.858,-8.780
11:16:54:016,1.683,-0.003,0.004,-0.002,-17.884,139.928,-8.890
11:16:54:119,1.786,0.001,-0.008,0.009,-17.722,140.121,-8.964
11:16:54:173,1.840,0.009,-0.018,0.009,-17.720,140.125,-8.936
11:16:54:173,1.840,-0.003,-0.003,0.001,-17.714,140.163,-8.957
11:16:54:173,1.840,0.005,0.000,0.008,-17.734,140.181,-8.926
11:16:54:173,1.840,-0.003,-0.010,-0.002,-17.764,140.211,-8.917
11:16:54:33,1.997,-0.001,-0.003,0.000,-17.784,140.210,-8.906
11:16:54:33,1.997,-0.004,0.001,-0.004,-17.804,140.218,-8.903
11:16:54:331,1.998,0.001,-0.003,-0.002,-17.826,140.249,-8.917
11:16:54:331,1.998,-0.004,0.008,0.000,-17.845,140.278,-8.946
11:16:54:514,2.181,-0.001,-0.006,0.000,-17.865,140.322,-8.956
11:16:54:515,2.182,-0.008,-0.002,-0.011,-17.829,140.365,-9.006
11:16:54:516,2.183,-0.011,-0.012,-0.013,-17.825,140.400,-9.004
11:16:54:516,2.183,-0.022,-0.015,-0.019,-17.831,140.426,-9.036
11:16:54:672,2.339,-0.004,-0.018,-0.005,-17.835,140.592,-9.014
11:16:54:672,2.339,-0.010,-0.017,0.008,-17.887,140.737,-8.995
11:16:54:673,2.340,0.015,0.007,0.007,-17.993,140.828,-8.884
11:16:54:828,2.495,0.004,0.016,0.008,-18.052,140.888,-8.881
11:16:54:829,2.496,0.013,0.025,0.015,-18.172,141.029,-8.761
11:16:54:83,2.497,0.004,0.023,0.007,-18.217,141.043,-8.688
11:16:54:83,2.497,0.015,0.015,0.021,-18.185,140.878,-8.611
11:16:54:856,2.523,0.010,0.002,0.007,-18.076,140.770,-8.295
11:16:54:857,2.524,-0.013,-0.014,-0.002,-18.062,140.699,-8.156
11:16:54:857,2.524,-0.012,-0.015,-0.006,-18.015,140.550,-8.195
11:16:54:882,2.549,-0.009,-0.008,-0.010,-17.979,140.579,-8.155
11:16:54:882,2.549,-0.008,-0.006,0.004,-18.019,140.551,-8.099
11:16:54:883,2.550,-0.009,-0.013,-0.011,-18.037,140.586,-8.129
11:16:54:883,2.550,-0.002,0.001,0.003,-18.063,140.481,-8.102
11:16:54:929,2.595,0.006,0.002,0.012,-18.095,140.514,-8.071
11:16:54:988,2.654,-0.001,0.008,0.008,-18.119,140.865,-8.080
11:16:54:988,2.654,0.003,0.017,0.000,-18.112,140.892,-8.064
11:16:54:988,2.654,0.014,0.010,0.012,-18.096,140.858,-7.989
11:16:54:988,2.654,0.005,-0.004,0.009,-18.055,140.863,-7.975
11:16:55:006,2.672,0.007,-0.004,0.006,-17.980,140.855,-7.938
11:16:55:007,2.673,0.003,-0.014,0.011,-17.928,140.825,-7.892
11:16:55:088,2.754,-0.002,-0.021,0.001,-17.888,140.552,-7.884
11:16:55:088,2.754,-0.003,-0.020,0.002,-17.844,140.543,-7.877
11:16:55:089,2.755,0.002,-0.023,0.003,-17.864,140.544,-7.872
11:16:55:111,2.777,-0.005,-0.010,-0.015,-17.924,140.538,-7.874
11:16:55:135,2.801,-0.006,-0.005,-0.009,-17.993,140.631,-7.896
11:16:55:161,2.827,-0.006,-0.001,-0.004,-18.021,140.635,-7.920
11:16:55:187,2.853,-0.007,-0.005,-0.005,-18.023,140.441,-7.936
11:16:55:24,2.906,-0.002,-0.003,-0.010,-18.024,140.443,-7.943
11:16:55:269,2.935,-0.007,0.001,-0.006,-18.022,140.342,-7.951
11:16:55:269,2.935,-0.006,-0.003,-0.005,-18.034,140.476,-7.967
11:16:55:292,2.958,0.002,-0.008,0.009,-18.033,140.509,-8.002
11:16:55:319,2.985,0.001,0.001,0.003,-18.043,140.189,-8.049
11:16:55:424,3.090,0.004,-0.003,0.013,-18.065,140.191,-8.052
11:16:55:488,3.154,0.007,-0.008,0.005,-18.040,140.189,-8.042
11:16:55:488,3.154,0.013,-0.008,0.006,-18.000,140.180,-8.050
11:16:55:488,3.154,0.013,-0.002,0.013,-17.995,140.459,-8.061
11:16:55:488,3.154,0.008,-0.001,0.011,-17.999,140.418,-8.032
11:16:55:503,3.169,0.010,0.019,-0.005,-18.008,140.372,-8.017
11:16:55:581,3.247,-0.002,-0.008,0.001,-18.046,140.290,-7.990
11:16:55:8,3.466,0.000,0.005,-0.005,-18.265,140.150,-8.234
11:16:55:801,3.467,0.010,0.019,0.007,-18.382,140.151,-8.261
11:16:55:801,3.467,-0.004,0.003,0.006,-18.445,140.158,-8.285
11:16:55:802,3.468,0.005,0.017,0.002,-18.448,140.172,-8.382
11:16:55:821,3.487,-0.001,0.013,0.005,-18.445,140.155,-8.417
11:16:55:821,3.487,0.014,0.016,0.020,-18.503,140.100,-8.419
11:16:55:958,3.624,0.006,0.015,0.003,-18.459,140.029,-8.654
11:16:55:959,3.625,-0.007,-0.005,0.005,-18.416,139.955,-8.710
