Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:10:42:523,0.000,0.008,0.013,0.014,-31.899,156.521,-17.221
11:10:42:685,0.162,0.021,0.029,0.004,-31.974,156.480,-16.985
11:10:42:686,0.163,0.015,0.028,0.003,-31.995,156.392,-16.858
11:10:42:841,0.318,-0.007,0.008,-0.007,-31.938,156.011,-16.336
11:10:42:842,0.319,-0.010,0.002,0.002,-31.893,155.942,-16.201
11:10:42:843,0.320,-0.009,-0.006,-0.001,-31.859,155.904,-16.125
11:10:42:843,0.320,-0.004,0.014,0.002,-31.871,156.034,-15.840
11:10:42:999,0.476,-0.009,0.009,-0.006,-31.846,155.963,-15.808
11:10:43:,0.477,-0.017,-0.002,-0.007,-31.802,155.897,-15.799
11:10:43:001,0.478,-0.024,-0.019,-0.001,-31.730,155.891,-15.837
11:10:43:001,0.478,-0.008,-0.002,-0.010,-31.695,156.084,-16.038
11:10:43:157,0.634,-0.011,-0.023,0.006,-31.865,155.402,-16.828
11:10:43:158,0.635,-0.010,-0.016,0.006,-31.878,155.455,-16.856
11:10:43:158,0.635,0.000,0.001,0.002,-31.913,155.536,-16.899
11:10:43:159,0.636,0.013,0.019,0.005,-31.931,155.606,-16.931
11:10:43:288,0.765,0.001,0.007,0.002,-31.950,155.622,-16.957
11:10:43:289,0.766,-0.004,-0.002,0.003,-31.953,155.573,-16.966
11:10:43:29,0.767,-0.008,0.007,-0.002,-31.971,155.564,-17.461
11:10:43:29,0.767,-0.011,0.002,-0.002,-31.883,154.684,-17.626
11:10:43:36,0.837,-0.010,-0.004,0.003,-31.892,154.707,-17.653
11:10:43:497,0.975,-0.003,0.006,-0.005,-31.892,154.707,-17.653
11:10:43:497,0.975,0.000,0.010,0.002,-31.887,155.032,-17.628
11:10:43:498,0.976,-0.006,0.001,0.003,-31.895,155.018,-17.623
11:10:43:499,0.977,0.000,0.003,-0.002,-31.905,154.942,-17.581
11:10:43:654,1.132,-0.013,-0.007,0.001,-31.905,154.917,-17.566
11:10:43:655,1.133,-0.009,0.007,-0.005,-31.909,155.235,-17.569
11:10:43:656,1.134,-0.008,0.013,-0.006,-31.908,155.233,-17.561
11:10:43:656,1.134,-0.018,-0.004,0.000,-31.903,155.300,-17.446
11:10:43:813,1.291,0.003,-0.002,0.004,-31.894,155.594,-17.412
11:10:43:97,1.448,0.000,0.001,0.000,-31.947,155.935,-17.271
11:10:43:971,1.449,-0.005,0.002,-0.003,-31.955,155.900,-17.277
11:10:43:971,1.449,-0.012,-0.011,0.005,-31.969,155.892,-17.296
11:10:44:258,1.736,-0.004,0.010,0.001,-32.111,155.826,-17.340
11:10:44:259,1.737,-0.002,0.002,0.004,-32.048,155.928,-17.399
11:10:44:26,1.738,-0.001,-0.001,0.003,-32.027,155.961,-17.454
11:10:44:306,1.784,-0.003,-0.007,0.006,-32.022,155.964,-17.498
11:10:44:306,1.784,-0.008,-0.008,-0.003,-32.023,155.964,-17.529
11:10:44:417,1.895,-0.009,0.000,0.000,-32.011,156.035,-17.615
11:10:44:417,1.895,-0.003,0.009,0.000,-32.010,156.043,-17.617
11:10:44:418,1.896,-0.008,0.012,-0.004,-32.000,156.075,-17.633
11:10:44:419,1.897,-0.003,0.008,0.003,-31.989,156.141,-17.665
11:10:44:443,1.921,-0.004,-0.018,0.007,-31.968,156.227,-17.697
11:10:44:443,1.921,0.003,0.003,0.004,-31.968,156.255,-17.689
11:10:44:444,1.922,-0.003,0.005,0.008,-32.005,156.277,-17.672
11:10:44:444,1.922,0.000,0.009,-0.001,-32.010,156.258,-17.652
11:10:44:487,1.965,-0.002,0.008,0.009,-32.012,156.243,-17.559
11:10:44:574,2.052,-0.004,0.006,0.002,-31.984,156.231,-17.557
11:10:44:575,2.053,-0.006,-0.011,0.011,-31.980,156.237,-17.550
11:10:44:575,2.053,0.000,-0.005,0.007,-31.979,156.227,-17.540
11:10:44:576,2.054,-0.011,-0.015,0.010,-31.978,156.179,-17.528
11:10:44:605,2.083,-0.001,-0.011,0.013,-32.003,156.126,-17.505
11:10:44:605,2.083,0.004,-0.004,0.010,-32.024,156.108,-17.545
11:10:44:605,2.083,-0.001,-0.002,-0.002,-32.079,155.983,-17.636
11:10:44:627,2.105,-0.015,-0.007,0.006,-32.118,155.921,-17.633
11:10:44:627,2.105,-0.017,-0.008,-0.008,-32.160,155.818,-17.640
11:10:44:627,2.105,-0.017,-0.004,-0.010,-32.206,155.778,-17.696
11:10:44:628,2.106,-0.017,0.005,-0.004,-32.301,155.738,-17.777
