Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:34:24:811,0.000,0.045,-0.035,0.006,21.930,143.391,-17.113
19:34:24:837,0.026,-0.003,-0.022,-0.006,21.862,143.342,-17.160
19:34:24:892,0.081,-0.025,0.001,-0.013,21.815,143.327,-17.282
19:34:24:893,0.082,0.027,-0.042,0.000,21.805,143.332,-17.193
19:34:24:919,0.108,0.009,-0.038,-0.006,21.790,143.328,-17.184
19:34:24:942,0.131,-0.024,-0.016,-0.008,21.748,143.310,-17.357
19:34:24:969,0.158,0.013,-0.026,-0.005,21.743,143.272,-17.336
19:34:25:048,0.237,0.033,-0.032,0.010,21.756,143.199,-17.247
19:34:25:075,0.264,0.055,-0.040,0.025,21.746,143.140,-17.029
19:34:25:129,0.318,-0.011,0.001,-0.002,21.730,143.103,-17.090
19:34:25:129,0.318,0.000,-0.001,-0.007,21.725,143.102,-17.174
19:34:25:205,0.394,-0.019,-0.011,-0.014,21.671,143.187,-17.118
19:34:25:231,0.420,0.020,-0.036,-0.003,21.671,143.211,-17.034
19:34:25:257,0.446,0.022,-0.033,0.004,21.651,143.203,-16.946
19:34:25:284,0.473,-0.020,-0.027,-0.017,21.633,143.187,-17.117
19:34:25:31,0.499,-0.011,-0.024,-0.012,21.634,143.168,-17.178
19:34:25:336,0.525,0.020,-0.045,-0.004,21.650,143.147,-17.122
19:34:25:444,0.633,0.040,-0.021,0.012,21.742,143.021,-17.124
19:34:25:444,0.633,0.014,-0.020,0.009,21.762,142.959,-17.162
19:34:25:519,0.708,0.046,-0.029,0.019,21.772,142.929,-17.049
19:34:25:572,0.761,0.027,-0.019,0.010,21.672,142.967,-17.278
19:34:25:598,0.787,0.049,-0.050,0.012,21.671,143.010,-17.247
19:34:25:625,0.814,-0.005,-0.027,-0.002,21.663,143.054,-17.364
19:34:25:651,0.840,-0.002,-0.027,-0.014,21.647,143.155,-17.462
19:34:25:677,0.866,0.030,-0.052,0.004,21.654,143.229,-17.340
19:34:25:704,0.893,0.014,-0.049,-0.002,21.675,143.310,-17.307
19:34:25:758,0.947,-0.009,-0.017,-0.012,21.724,143.406,-17.447
19:34:25:759,0.948,0.013,-0.029,-0.004,21.787,143.469,-17.404
19:34:25:782,0.971,0.022,-0.017,0.007,21.858,143.538,-17.389
19:34:25:808,0.997,-0.037,0.020,-0.007,21.881,143.590,-17.482
19:34:25:835,1.024,-0.008,0.012,0.002,21.931,143.706,-17.398
19:34:25:862,1.051,0.017,-0.022,0.002,21.947,143.768,-17.245
19:34:25:888,1.077,-0.033,0.001,-0.018,21.920,143.825,-17.285
19:34:25:914,1.103,-0.014,0.000,-0.007,21.896,143.861,-17.266
19:34:25:939,1.128,0.022,-0.024,0.004,21.880,143.865,-17.148
