Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:18:53:864,0.000,0.007,-0.001,0.005,12.956,141.779,3.601
09:18:53:864,0.000,0.007,-0.001,0.022,12.928,141.834,3.698
09:18:53:865,0.001,0.007,-0.013,0.003,12.925,141.906,3.744
09:18:53:866,0.002,-0.012,-0.002,-0.001,12.919,141.967,3.760
09:18:53:927,0.063,-0.008,-0.007,0.010,12.919,142.029,3.774
09:18:53:928,0.064,-0.006,-0.007,-0.003,12.911,142.044,3.794
09:18:53:928,0.064,-0.006,-0.003,-0.002,12.909,142.103,3.845
09:18:53:929,0.065,-0.011,-0.003,-0.003,12.907,142.139,3.842
09:18:53:989,0.125,-0.011,-0.007,-0.003,12.897,142.149,3.861
09:18:53:99,0.126,-0.006,0.015,0.004,12.902,142.155,3.853
09:18:53:99,0.126,0.002,0.001,-0.004,12.908,142.153,3.828
09:18:53:991,0.127,-0.001,-0.014,0.000,12.876,142.178,3.849
09:18:54:256,0.392,0.006,0.004,-0.007,11.793,142.143,3.585
09:18:54:256,0.392,-0.011,0.007,-0.001,11.487,142.188,3.507
09:18:54:257,0.393,0.002,-0.005,-0.012,11.316,142.201,3.469
09:18:54:257,0.393,0.005,-0.008,0.004,11.061,142.163,3.538
09:18:54:31,0.446,0.010,-0.010,0.001,10.876,142.195,3.567
09:18:54:31,0.446,0.012,-0.030,-0.011,10.627,142.230,3.542
09:18:54:311,0.447,0.000,-0.040,0.000,10.356,142.300,3.565
09:18:54:385,0.521,-0.001,-0.046,-0.006,10.046,142.373,3.751
09:18:54:447,0.583,-0.004,-0.011,-0.005,9.953,142.539,3.810
09:18:54:447,0.583,0.003,-0.029,-0.002,9.858,142.586,3.846
09:18:54:448,0.584,-0.003,-0.042,0.002,9.766,142.615,3.908
09:18:54:644,0.780,-0.005,-0.004,-0.002,9.660,143.126,4.034
09:18:54:711,0.846,-0.005,0.005,-0.003,9.708,143.127,4.025
09:18:54:711,0.846,-0.009,-0.013,-0.005,9.762,143.108,3.983
09:18:54:711,0.846,-0.010,-0.003,-0.006,9.759,143.190,3.990
09:18:54:784,0.920,0.002,0.013,-0.011,9.761,143.205,3.976
09:18:54:785,0.921,-0.013,-0.004,-0.001,9.743,142.862,3.949
09:18:54:785,0.921,-0.014,0.013,-0.001,9.652,142.854,3.942
09:18:54:845,0.981,-0.006,-0.005,-0.004,9.519,142.911,3.931
09:18:54:911,1.046,-0.012,-0.010,-0.002,9.402,143.007,3.932
09:18:54:911,1.046,-0.007,0.022,-0.001,9.345,142.998,3.936
09:18:54:911,1.046,0.006,-0.024,0.001,9.294,143.105,3.960
09:18:54:97,1.106,0.001,-0.026,0.005,9.224,143.126,4.081
09:18:54:97,1.106,-0.001,-0.005,-0.005,9.195,143.163,4.175
09:18:54:979,1.115,0.005,0.000,0.012,9.195,143.104,4.290
09:18:55:045,1.181,0.002,-0.032,0.010,9.193,143.110,4.373
09:18:55:045,1.181,0.000,-0.011,0.001,9.186,143.166,4.468
09:18:55:106,1.242,-0.005,0.005,0.000,9.198,143.221,4.513
09:18:55:107,1.243,-0.008,-0.013,0.002,9.223,143.270,4.552
09:18:55:173,1.308,-0.011,-0.001,0.003,9.251,143.315,4.576
09:18:55:173,1.308,-0.018,0.019,-0.013,9.279,143.389,4.564
09:18:55:173,1.309,-0.015,-0.010,-0.009,9.305,143.418,4.647
09:18:55:23,1.366,-0.018,-0.007,-0.002,9.281,143.509,4.787
09:18:55:244,1.380,-0.016,0.017,-0.008,9.257,143.547,4.917
09:18:55:245,1.380,-0.009,-0.006,-0.002,9.256,143.465,4.919
09:18:55:308,1.444,-0.006,-0.020,0.002,9.223,143.468,4.975
09:18:55:308,1.444,-0.012,-0.004,-0.005,9.162,143.498,4.997
09:18:55:37,1.506,-0.009,-0.008,0.001,9.134,143.490,4.998
09:18:55:371,1.507,0.001,-0.030,0.003,9.089,143.490,5.020
09:18:55:434,1.570,-0.012,-0.022,-0.002,9.045,143.507,5.065
09:18:55:435,1.571,-0.008,-0.017,-0.007,9.035,143.524,5.084
09:18:55:436,1.572,-0.009,-0.022,-0.002,9.052,143.509,5.086
09:18:55:569,1.705,-0.005,-0.007,0.000,9.228,143.474,5.159
09:18:55:707,1.843,-0.007,0.001,-0.005,9.410,143.454,5.166
09:18:55:772,1.908,-0.006,-0.017,0.000,9.425,143.455,5.168
09:18:55:772,1.908,-0.002,-0.001,0.011,9.425,143.455,5.168
09:18:55:773,1.909,0.011,-0.043,-0.001,9.432,143.455,5.166
09:18:55:833,1.969,0.003,-0.032,-0.002,9.472,143.481,5.222
09:18:55:833,1.969,-0.024,-0.014,-0.008,9.576,143.565,5.454
09:18:55:843,1.979,0.005,-0.016,0.004,9.698,143.608,5.811
09:18:55:906,2.042,0.017,-0.011,0.010,9.912,143.624,6.317
09:18:55:907,2.043,-0.002,0.003,-0.005,10.029,143.640,6.377
09:18:55:973,2.109,-0.011,0.006,-0.004,10.166,143.661,6.327
09:18:55:973,2.109,-0.007,0.016,-0.012,10.236,143.691,6.322
09:18:55:973,2.109,-0.006,0.010,-0.010,10.362,143.703,6.326
09:18:56:032,2.168,-0.025,0.027,-0.008,10.400,143.703,6.306
09:18:56:033,2.169,-0.029,0.030,-0.006,10.399,143.699,6.262
09:18:56:041,2.177,-0.028,0.013,-0.002,10.382,143.656,6.182
09:18:56:092,2.228,-0.024,0.023,0.006,10.346,143.616,6.154
09:18:56:104,2.240,-0.011,0.017,-0.010,10.268,143.506,5.992
09:18:56:156,2.292,0.004,-0.009,0.001,10.187,143.392,5.883
09:18:56:157,2.293,0.002,-0.016,0.004,10.108,143.346,5.861
09:18:56:234,2.370,0.005,-0.015,0.000,10.017,143.269,5.774
09:18:56:235,2.371,0.012,-0.046,0.004,9.969,143.221,5.734
09:18:56:235,2.371,0.012,-0.026,0.002,9.920,143.185,5.755
09:18:56:295,2.431,0.022,-0.035,-0.003,9.942,143.151,5.790
09:18:56:295,2.431,0.018,-0.035,0.002,9.979,143.148,5.829
09:18:56:355,2.491,0.000,-0.020,-0.001,10.016,143.179,5.857
09:18:56:37,2.506,-0.003,0.000,-0.007,10.071,143.198,5.870
09:18:56:37,2.506,-0.004,-0.015,-0.018,10.165,143.216,6.012
09:18:56:432,2.568,-0.020,0.000,-0.022,10.185,143.243,6.261
09:18:56:432,2.568,0.012,0.003,0.010,10.185,143.306,6.879
09:18:56:441,2.577,-0.008,0.011,-0.010,10.228,143.329,7.067
09:18:56:495,2.631,-0.006,0.001,-0.003,10.250,143.346,7.091
09:18:56:495,2.631,-0.013,0.016,-0.016,10.296,143.335,7.008
09:18:56:558,2.694,0.000,-0.001,0.001,10.353,143.315,6.914
09:18:56:559,2.694,-0.015,0.007,-0.006,10.417,143.275,6.628
09:18:56:566,2.702,0.002,0.047,0.007,10.531,143.191,6.241
09:18:56:619,2.755,-0.005,0.031,-0.003,10.689,143.117,6.019
09:18:56:62,2.756,-0.011,-0.039,-0.015,11.032,142.987,5.866
09:18:56:642,2.778,-0.002,-0.036,-0.013,11.266,142.880,5.787
09:18:56:695,2.830,0.016,-0.026,-0.003,11.514,142.714,5.631
09:18:56:695,2.831,-0.008,-0.010,-0.008,11.595,142.635,5.530
09:18:56:837,2.973,0.000,0.005,-0.007,11.834,142.419,5.094
09:18:56:837,2.973,0.001,-0.003,0.000,11.890,142.389,5.057
09:18:56:894,3.030,0.002,-0.010,0.004,11.903,142.341,5.041
09:18:56:895,3.031,0.000,0.004,-0.003,11.904,142.316,5.016
09:18:56:904,3.040,0.003,0.008,0.000,11.892,142.308,5.004
09:18:56:957,3.092,0.012,-0.021,0.001,11.854,142.306,4.979
09:18:56:957,3.092,-0.002,-0.013,-0.002,11.797,142.304,4.968
09:18:57:034,3.170,0.000,0.002,0.001,11.727,142.312,4.962
09:18:57:035,3.171,0.006,-0.021,-0.003,11.721,142.312,4.965
09:18:57:036,3.172,0.010,-0.021,0.002,11.701,142.318,4.972
09:18:57:156,3.292,0.007,-0.022,-0.006,11.916,142.350,4.977
09:18:57:157,3.293,-0.009,-0.009,-0.013,12.043,142.365,5.041
09:18:57:223,3.359,-0.007,0.006,-0.006,12.201,142.331,5.059
09:18:57:223,3.359,-0.005,-0.001,-0.004,12.326,142.300,5.029
09:18:57:223,3.359,-0.005,-0.002,-0.011,12.389,142.283,5.014
09:18:57:28,3.416,0.003,0.006,-0.001,12.448,142.276,5.008
09:18:57:294,3.430,0.004,0.006,-0.001,12.454,142.256,4.959
09:18:57:294,3.430,-0.004,0.004,-0.006,12.434,142.242,4.882
09:18:57:36,3.495,0.001,0.003,-0.001,12.377,142.270,4.874
09:18:57:36,3.495,-0.008,0.011,-0.002,12.337,142.281,4.829
09:18:57:423,3.559,-0.013,-0.007,-0.012,12.287,142.296,4.757
09:18:57:423,3.559,-0.010,-0.006,-0.012,12.247,142.309,4.750
09:18:57:424,3.560,-0.008,-0.011,-0.014,12.179,142.320,4.691
09:18:57:481,3.617,-0.011,-0.013,-0.008,12.122,142.312,4.612
09:18:57:482,3.618,-0.017,-0.016,-0.011,12.042,142.314,4.557
09:18:58:028,4.164,-0.002,-0.023,-0.005,11.148,142.116,4.042
09:18:58:028,4.164,-0.017,-0.013,0.002,11.070,142.113,4.009
09:18:58:029,4.165,0.001,-0.004,0.005,11.005,142.077,4.028
09:18:58:094,4.230,-0.005,-0.015,-0.002,10.961,142.055,4.026
09:18:58:095,4.231,0.003,-0.005,0.006,10.888,142.030,4.004
09:18:58:096,4.232,0.009,-0.027,0.002,10.819,141.998,3.973
09:18:58:096,4.232,0.012,-0.014,0.011,10.739,141.969,3.975
09:18:58:097,4.233,0.024,-0.009,0.008,10.722,141.972,4.011
09:18:58:206,4.342,-0.001,-0.044,0.000,10.716,142.261,4.276
09:18:58:217,4.353,-0.007,-0.028,0.002,10.750,142.340,4.323
09:18:58:285,4.421,-0.008,-0.023,-0.010,10.819,142.422,4.344
09:18:58:285,4.421,-0.009,-0.014,0.002,10.896,142.491,4.428
09:18:58:285,4.421,0.001,0.001,-0.007,10.978,142.539,4.479
09:18:58:346,4.481,-0.004,-0.002,-0.004,11.074,142.587,4.526
09:18:58:346,4.481,-0.018,0.013,-0.003,11.101,142.635,4.551
09:18:58:483,4.619,-0.015,0.028,-0.010,11.150,142.695,4.554
09:18:58:483,4.619,-0.017,0.004,-0.011,11.153,142.717,4.548
09:18:58:553,4.689,-0.016,0.003,-0.014,11.148,142.738,4.536
09:18:58:553,4.689,-0.005,0.016,-0.012,11.154,142.729,4.511
09:18:58:554,4.690,-0.009,-0.016,-0.007,11.160,142.708,4.522
09:18:58:554,4.690,-0.007,-0.005,0.003,11.159,142.707,4.604
09:18:58:682,4.818,0.008,-0.010,0.004,11.237,143.398,4.608
09:18:58:752,4.887,0.002,-0.012,0.012,11.250,143.428,4.591
09:18:58:752,4.887,0.000,0.000,0.000,11.263,144.003,4.576
09:18:58:753,4.888,0.004,-0.009,0.006,11.258,144.004,4.563
09:18:58:809,4.944,-0.003,-0.009,0.000,11.259,144.197,4.498
09:18:58:809,4.944,0.003,-0.005,0.006,11.261,144.196,4.482
09:18:58:953,5.089,0.021,-0.002,0.012,11.252,144.291,4.389
09:18:58:953,5.089,-0.007,-0.016,-0.009,11.141,144.211,4.068
09:18:58:954,5.090,-0.059,0.021,-0.017,10.932,144.078,3.731
09:18:58:955,5.091,-0.053,0.045,-0.027,10.619,143.867,3.339
09:18:59:008,5.144,-0.028,0.022,-0.021,10.502,143.751,3.085
09:18:59:009,5.144,-0.004,0.006,-0.012,10.343,143.580,2.892
09:18:59:02,5.156,0.008,0.002,-0.011,10.172,143.400,2.860
09:18:59:021,5.157,0.026,-0.013,-0.004,10.068,143.302,2.842
09:18:59:09,5.226,0.003,-0.028,0.000,9.965,143.384,2.838
09:18:59:091,5.227,0.000,-0.026,0.005,9.925,143.336,2.884
09:18:59:091,5.227,0.005,-0.006,0.001,9.930,143.292,2.894
09:18:59:415,5.551,0.047,-0.007,0.050,9.858,143.628,3.300
09:18:59:416,5.552,-0.003,-0.021,-0.001,9.862,143.684,3.081
09:18:59:472,5.608,-0.021,-0.035,-0.035,9.742,143.560,2.228
09:18:59:482,5.617,0.014,0.000,0.004,9.743,143.521,2.291
09:18:59:482,5.618,0.009,-0.040,0.009,9.750,143.505,2.287
09:18:59:534,5.670,0.020,-0.022,0.000,9.757,143.495,2.351
09:18:59:534,5.670,0.016,-0.020,0.017,9.768,143.498,2.385
09:18:59:611,5.746,0.004,-0.029,0.005,9.766,143.511,2.379
09:18:59:611,5.746,0.015,-0.008,0.001,9.796,143.545,2.409
09:18:59:611,5.746,0.002,0.010,-0.004,9.836,143.451,2.359
09:18:59:668,5.804,0.003,-0.014,0.003,9.875,143.497,2.372
09:18:59:733,5.869,-0.002,-0.002,-0.004,9.893,143.585,2.462
09:18:59:734,5.870,0.002,-0.001,-0.015,9.952,143.695,2.563
09:18:59:744,5.880,-0.022,-0.004,-0.004,9.955,143.655,2.610
09:18:59:745,5.881,-0.014,0.006,-0.017,9.978,143.703,2.643
09:18:59:794,5.930,-0.022,0.016,-0.012,10.014,143.713,2.596
09:18:59:794,5.930,-0.043,0.026,-0.012,10.003,143.704,2.495
09:18:59:805,5.941,-0.010,0.024,-0.021,9.995,143.729,2.433
09:18:59:869,6.005,-0.025,0.020,-0.008,9.979,143.713,2.407
09:18:59:869,6.005,-0.022,0.011,-0.014,9.904,143.578,2.294
09:18:59:933,6.069,-0.013,0.011,-0.012,9.806,143.463,2.229
09:18:59:933,6.069,-0.010,-0.003,0.005,9.719,143.368,2.220
09:18:59:943,6.079,-0.002,-0.019,-0.007,9.610,143.244,2.143
09:19:00:005,6.141,0.015,-0.024,0.001,9.544,143.065,2.121
09:19:00:057,6.193,0.023,-0.024,0.005,9.473,142.968,2.115
09:19:00:058,6.194,0.015,-0.053,0.014,9.426,142.750,2.144
09:19:00:069,6.205,0.018,-0.030,0.002,9.371,142.747,2.199
09:19:00:07,6.205,0.013,-0.021,0.001,9.378,142.748,2.219
09:19:00:133,6.269,0.013,-0.026,0.010,9.374,142.740,2.227
09:19:00:134,6.270,0.008,-0.007,0.005,9.383,142.832,2.268
09:19:00:142,6.278,0.014,0.047,-0.001,9.408,142.849,2.298
09:19:00:256,6.392,0.015,0.002,0.004,9.390,142.856,2.290
09:19:00:272,6.408,-0.003,-0.012,0.001,9.288,142.949,2.331
09:19:00:272,6.408,0.002,0.006,0.003,9.220,143.043,2.383
09:19:00:273,6.409,-0.013,-0.024,-0.010,9.127,142.823,2.405
09:19:00:335,6.471,-0.014,-0.015,-0.016,9.029,142.729,2.535
09:19:00:335,6.471,-0.020,-0.020,-0.010,9.054,142.787,2.531
09:19:00:41,6.545,-0.019,-0.030,-0.011,9.085,142.810,2.537
09:19:00:41,6.546,-0.004,-0.017,-0.013,9.153,142.851,2.592
09:19:00:411,6.546,-0.017,0.007,-0.009,9.195,142.872,2.587
09:19:00:598,6.733,-0.007,0.010,0.002,9.299,142.851,2.714
09:19:00:598,6.734,0.000,0.018,-0.003,9.262,143.047,2.763
09:19:00:6,6.736,-0.004,-0.010,0.005,9.247,143.026,2.781
09:19:00:719,6.855,0.002,-0.019,0.007,9.101,143.009,2.828
09:19:00:719,6.855,0.007,-0.007,0.004,9.095,143.012,2.875
09:19:00:797,6.933,0.007,0.000,-0.001,9.119,143.012,2.860
09:19:00:798,6.934,0.000,-0.025,0.002,9.121,143.024,2.845
09:19:00:799,6.934,-0.012,0.004,-0.003,9.113,143.053,2.827
09:19:00:931,7.067,-0.005,-0.026,-0.003,9.079,143.029,2.703
09:19:00:997,7.133,-0.003,0.000,-0.001,9.015,143.017,2.731
09:19:00:997,7.133,0.001,0.000,-0.001,8.993,143.016,2.731
09:19:01:059,7.195,0.004,-0.026,-0.002,8.963,142.986,2.724
09:19:01:06,7.196,0.004,-0.018,0.002,8.936,142.988,2.733
09:19:01:06,7.196,0.002,-0.013,-0.001,8.909,143.018,2.745
09:19:01:119,7.255,-0.001,-0.031,0.003,8.913,143.026,2.736
09:19:01:12,7.256,-0.001,-0.002,0.000,8.913,143.034,2.759
09:19:01:181,7.317,-0.007,-0.013,0.000,8.937,143.083,2.836
09:19:01:263,7.399,-0.017,-0.007,-0.005,8.932,143.115,2.848
09:19:01:264,7.400,0.015,-0.054,0.002,8.935,143.112,2.921
09:19:01:265,7.401,-0.007,-0.060,-0.008,8.924,143.140,3.000
09:19:01:265,7.401,0.003,0.003,0.008,8.879,143.211,3.183
09:19:01:319,7.455,0.012,0.036,0.004,8.841,143.271,3.319
09:19:01:32,7.456,-0.014,0.024,0.003,8.812,143.344,3.504
09:19:01:383,7.519,0.001,0.030,-0.011,8.782,143.403,3.622
09:19:01:383,7.519,-0.017,0.011,-0.013,8.753,143.469,3.740
09:19:01:394,7.530,-0.010,0.037,-0.008,8.695,143.508,3.753
09:19:01:442,7.578,-0.007,0.021,-0.014,8.689,143.508,3.756
09:19:01:454,7.590,-0.014,-0.006,-0.004,8.669,143.511,3.807
09:19:01:522,7.658,0.005,-0.050,-0.007,8.610,143.513,3.849
09:19:01:522,7.658,-0.007,-0.053,-0.013,8.503,143.519,3.862
09:19:01:523,7.659,-0.011,-0.052,-0.014,8.420,143.524,3.815
09:19:01:583,7.719,-0.010,-0.035,-0.014,8.416,143.497,3.756
09:19:01:583,7.719,-0.005,-0.033,-0.008,8.496,143.449,3.786
09:19:01:647,7.782,0.005,-0.013,-0.001,8.583,143.423,3.822
09:19:01:647,7.782,-0.003,-0.016,-0.008,8.691,143.377,3.783
09:19:01:657,7.793,-0.006,0.009,-0.004,8.812,143.346,3.764
09:19:01:719,7.854,0.002,-0.002,0.007,8.900,143.318,3.755
09:19:01:72,7.856,0.004,0.021,-0.003,9.031,143.241,3.714
09:19:01:785,7.921,0.010,0.042,0.009,9.171,143.148,3.632
09:19:01:786,7.922,0.008,0.020,-0.001,9.160,143.129,3.597
09:19:01:844,7.980,0.003,0.024,0.000,9.090,143.134,3.546
09:19:01:845,7.981,0.005,0.016,-0.002,8.992,143.140,3.542
09:19:01:853,7.989,0.001,0.014,-0.006,8.914,143.134,3.552
09:19:01:922,8.058,0.018,0.014,0.001,8.741,143.210,3.727
09:19:01:981,8.116,-0.001,-0.003,-0.001,8.586,143.307,3.747
09:19:01:994,8.130,-0.009,-0.003,-0.010,8.437,143.385,3.734
09:19:01:995,8.131,-0.002,-0.009,-0.011,8.312,143.418,3.785
09:19:02:045,8.181,-0.002,0.011,0.001,8.056,143.482,3.932
09:19:02:045,8.181,-0.008,-0.021,-0.018,7.921,143.514,3.978
09:19:02:119,8.255,0.000,-0.009,-0.001,7.446,143.576,4.004
09:19:02:12,8.256,0.001,-0.005,0.000,7.311,143.618,4.006
09:19:02:184,8.320,0.000,-0.066,-0.005,7.059,143.677,3.906
09:19:02:247,8.383,0.010,-0.059,0.012,7.005,143.699,3.791
09:19:02:248,8.384,0.001,-0.065,-0.029,7.122,143.680,3.678
09:19:02:248,8.384,-0.010,-0.062,0.002,7.241,143.674,3.372
09:19:02:307,8.443,0.002,-0.021,-0.013,7.594,143.666,3.102
09:19:02:457,8.592,-0.004,0.013,-0.013,7.815,143.682,3.082
09:19:02:458,8.593,0.002,0.035,-0.002,7.950,143.678,3.000
09:19:02:459,8.594,-0.012,0.002,-0.011,8.107,143.711,2.944
09:19:02:459,8.594,-0.005,0.036,0.003,8.182,143.728,2.972
09:19:02:46,8.595,0.010,0.034,0.009,8.275,143.721,2.963
09:19:02:512,8.648,-0.007,-0.001,-0.005,8.228,143.822,2.926
09:19:02:512,8.648,-0.002,0.017,-0.005,8.183,143.852,2.928
09:19:02:569,8.705,-0.002,-0.007,-0.002,8.154,143.851,2.930
09:19:02:569,8.705,-0.008,-0.058,-0.011,8.113,143.904,2.946
09:19:02:579,8.715,-0.002,0.008,-0.014,8.143,143.875,2.965
09:19:02:644,8.779,-0.001,0.016,-0.008,8.080,143.830,2.968
09:19:02:645,8.781,-0.011,-0.004,-0.010,8.023,143.871,3.003
09:19:02:77,8.906,-0.006,0.016,-0.008,8.303,143.863,2.890
09:19:02:77,8.906,0.000,-0.025,-0.012,8.395,143.870,2.860
09:19:02:847,8.983,-0.012,-0.021,-0.012,8.414,143.847,2.867
09:19:02:848,8.984,-0.011,0.007,-0.012,8.413,143.827,2.904
09:19:02:848,8.984,-0.012,-0.006,-0.016,8.450,143.827,2.884
09:19:02:907,9.043,-0.016,-0.004,-0.019,8.468,143.819,2.870
09:19:02:908,9.044,-0.015,-0.012,-0.019,8.475,143.795,2.866
09:19:03:032,9.167,-0.010,-0.005,-0.008,8.631,143.620,2.996
09:19:03:033,9.168,0.004,-0.015,0.000,8.689,143.550,3.047
09:19:03:377,9.513,-0.016,-0.006,-0.004,9.669,143.630,3.310
09:19:03:377,9.513,-0.020,-0.002,-0.009,9.710,143.984,3.316
09:19:03:378,9.514,0.000,0.003,-0.004,9.784,143.979,3.358
09:19:03:379,9.515,-0.001,0.020,-0.001,9.831,144.024,3.354
09:19:03:434,9.570,-0.008,-0.009,0.003,9.850,143.995,3.360
09:19:03:434,9.570,0.001,0.010,-0.009,9.856,143.951,3.370
09:19:03:505,9.641,-0.007,0.018,0.000,9.864,143.913,3.365
09:19:03:572,9.708,-0.004,-0.001,-0.001,9.884,143.875,3.333
09:19:03:573,9.709,-0.004,-0.009,0.000,9.888,143.840,3.358
09:19:03:574,9.710,0.002,0.014,-0.003,9.867,143.801,3.355
09:19:03:639,9.775,0.000,-0.023,0.002,9.838,143.790,3.312
09:19:03:64,9.776,-0.003,-0.028,-0.010,9.824,143.790,3.294
09:19:03:64,9.776,-0.005,0.002,0.004,9.801,143.769,3.307
09:19:03:641,9.777,-0.008,0.003,0.001,9.806,143.737,3.273
09:19:03:694,9.829,0.004,-0.013,-0.002,9.846,143.735,3.260
09:19:03:695,9.830,-0.006,-0.011,-0.001,9.877,143.580,3.260
09:19:03:77,9.906,-0.001,0.005,-0.002,10.156,143.438,3.143
09:19:03:903,10.039,-0.027,-0.099,-0.049,10.732,143.332,3.056
09:19:03:904,10.040,0.004,0.000,-0.009,11.186,143.309,3.060
