Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:39:50:555,0.000,0.025,-0.010,0.028,1.674,113.658,-19.492
09:39:50:555,0.000,0.019,0.010,0.020,1.742,113.672,-19.545
09:39:50:579,0.024,0.026,-0.015,0.021,1.785,113.703,-19.553
09:39:50:605,0.050,0.021,0.005,0.021,1.828,113.791,-19.548
09:39:50:63,0.076,0.009,0.008,0.005,1.859,113.859,-19.579
09:39:50:684,0.130,0.004,0.009,0.000,1.881,114.089,-19.684
09:39:50:709,0.154,-0.001,0.020,-0.006,1.850,114.157,-19.772
09:39:50:735,0.180,-0.013,-0.002,-0.029,1.743,114.210,-20.048
09:39:50:762,0.207,-0.021,-0.026,-0.029,1.618,114.196,-20.453
09:39:50:819,0.264,-0.019,-0.008,-0.033,1.556,114.154,-20.736
09:39:50:82,0.265,-0.020,0.019,-0.023,1.518,114.099,-20.982
09:39:50:841,0.286,0.003,-0.008,0.001,1.524,114.085,-20.947
09:39:50:896,0.341,0.005,-0.006,0.000,1.512,114.072,-20.880
09:39:50:897,0.342,0.003,0.017,-0.005,1.500,114.048,-20.878
09:39:50:921,0.366,0.004,0.003,-0.003,1.489,114.012,-20.869
09:39:51:082,0.528,0.011,-0.002,0.000,1.468,113.965,-20.825
09:39:51:083,0.529,0.012,-0.010,0.008,1.455,113.939,-20.791
09:39:51:084,0.530,0.007,0.007,0.006,1.450,113.895,-20.784
09:39:51:244,0.689,-0.002,0.003,-0.022,1.625,114.302,-20.705
09:39:51:245,0.690,-0.012,-0.003,-0.006,1.670,114.358,-20.703
09:39:51:245,0.690,-0.007,-0.002,0.002,1.735,114.420,-20.678
09:39:51:401,0.846,-0.007,0.008,-0.017,1.869,114.524,-20.704
09:39:51:402,0.847,0.002,0.002,-0.005,1.959,114.557,-20.599
09:39:51:403,0.848,0.011,0.011,0.013,2.084,114.608,-20.445
09:39:51:424,0.869,0.000,0.011,0.008,2.162,114.665,-20.427
09:39:51:424,0.869,0.000,0.025,-0.002,2.200,114.693,-20.465
09:39:51:425,0.870,0.006,0.004,-0.002,2.219,114.747,-20.444
09:39:51:474,0.919,0.007,0.014,0.007,2.230,114.771,-20.430
09:39:51:474,0.919,0.003,0.001,-0.001,2.238,114.776,-20.434
09:39:51:555,1.000,0.001,-0.006,0.004,2.200,114.754,-20.434
09:39:51:556,1.001,0.003,-0.014,0.006,2.163,114.731,-20.468
09:39:51:557,1.002,-0.001,0.011,-0.006,2.127,114.698,-20.549
09:39:51:631,1.077,-0.004,-0.010,-0.009,2.087,114.606,-20.596
09:39:51:654,1.099,-0.009,0.005,-0.022,2.071,114.446,-20.915
09:39:51:895,1.341,-0.002,0.002,-0.010,2.018,114.227,-21.164
09:39:51:895,1.341,0.003,0.001,0.013,1.977,114.091,-21.176
09:39:52:049,1.495,0.019,0.010,0.025,1.971,113.932,-21.213
09:39:52:137,1.582,0.012,-0.019,0.005,2.312,114.373,-21.207
09:39:52:138,1.583,-0.003,-0.004,-0.019,2.382,114.519,-21.331
09:39:52:139,1.584,-0.002,0.000,-0.018,2.416,114.611,-21.367
09:39:52:216,1.661,-0.004,0.014,-0.007,2.517,114.816,-21.382
09:39:52:216,1.661,0.000,0.004,-0.005,2.546,114.862,-21.428
