Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:53:05:962,0.000,-0.001,0.041,0.043,-12.183,-39.787,-11.602
15:53:05:963,0.001,-0.014,0.113,0.042,-12.125,-39.812,-11.637
15:53:05:974,0.012,-0.074,0.053,0.010,-12.045,-39.771,-11.391
15:53:05:997,0.035,-0.049,0.104,0.021,-12.108,-39.776,-11.484
15:53:06:048,0.086,-0.036,0.057,0.020,-12.230,-39.663,-11.609
15:53:06:06,0.098,-0.002,0.017,0.002,-12.415,-39.480,-11.334
15:53:06:084,0.122,0.068,-0.007,0.074,-12.619,-39.393,-11.338
15:53:06:11,0.148,0.048,-0.097,0.010,-12.940,-39.274,-11.380
15:53:06:135,0.173,0.085,-0.070,0.005,-13.170,-39.313,-11.496
15:53:06:16,0.198,0.053,-0.109,0.008,-13.374,-39.431,-11.468
15:53:06:186,0.224,0.052,-0.098,-0.021,-13.373,-39.543,-11.359
15:53:06:211,0.249,0.055,-0.046,0.017,-13.333,-39.640,-11.411
15:53:06:262,0.300,0.015,-0.055,-0.012,-13.189,-39.743,-11.270
15:53:06:273,0.311,0.025,0.028,0.031,-13.067,-39.854,-11.305
15:53:06:285,0.323,0.009,-0.053,-0.001,-12.840,-39.973,-11.201
15:53:06:334,0.372,-0.013,0.103,0.081,-12.710,-40.102,-11.192
15:53:06:347,0.385,-0.026,0.028,0.031,-12.467,-40.286,-11.119
15:53:06:359,0.397,-0.060,0.050,-0.017,-12.318,-40.458,-10.946
15:53:06:41,0.447,-0.051,0.078,0.033,-12.278,-40.583,-11.028
15:53:06:422,0.460,-0.047,0.035,0.008,-12.221,-40.619,-10.901
15:53:06:447,0.485,-0.029,0.076,0.024,-12.162,-40.640,-10.828
15:53:06:561,0.598,0.028,-0.011,0.004,-12.560,-40.648,-10.668
15:53:06:573,0.610,0.019,-0.055,-0.010,-12.635,-40.706,-10.735
15:53:06:598,0.635,0.006,-0.028,0.004,-12.688,-40.777,-10.764
15:53:06:647,0.685,0.000,-0.047,-0.030,-12.658,-40.900,-10.851
15:53:06:672,0.710,-0.009,0.018,0.021,-12.711,-40.992,-10.909
15:53:06:709,0.747,-0.028,0.004,0.024,-12.662,-41.005,-10.896
15:53:06:835,0.872,-0.030,0.029,0.021,-12.563,-41.148,-10.991
15:53:06:884,0.922,0.009,-0.023,-0.013,-12.655,-41.089,-11.116
15:53:06:934,0.972,0.009,-0.026,-0.002,-12.825,-41.014,-11.582
15:53:07:022,1.060,-0.002,-0.023,-0.013,-12.298,-40.786,-11.838
15:53:07:048,1.086,-0.033,0.051,0.041,-12.079,-40.808,-11.979
15:53:07:06,1.098,-0.020,0.027,0.013,-11.872,-40.810,-12.031
15:53:07:197,1.235,-0.004,0.034,0.018,-11.857,-40.347,-11.567
15:53:07:247,1.285,0.018,-0.053,0.010,-12.136,-40.114,-11.044
15:53:07:372,1.410,0.007,-0.005,0.023,-12.344,-40.060,-10.344
15:53:07:411,1.449,-0.009,-0.027,0.002,-12.296,-40.051,-10.178
15:53:07:436,1.474,-0.016,0.041,0.020,-12.334,-40.186,-10.301
15:53:07:488,1.525,-0.017,0.064,0.026,-12.303,-40.240,-10.408
