Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:57:25:669,0.000,0.011,-0.019,0.012,4.980,-30.657,-40.732
16:57:25:669,0.000,0.012,-0.007,0.000,4.912,-30.606,-40.808
16:57:25:67,0.001,0.003,0.003,0.000,4.217,-30.502,-40.692
16:57:26:164,0.495,0.015,0.035,0.015,2.065,-31.361,-40.448
16:57:26:329,0.660,-0.001,0.018,-0.024,2.559,-31.193,-40.591
16:57:26:329,0.660,0.003,-0.029,-0.002,2.689,-31.277,-40.315
16:57:26:33,0.661,0.027,0.018,0.004,2.804,-31.352,-40.287
16:57:26:33,0.661,0.006,0.003,0.003,2.910,-31.449,-40.130
16:57:26:459,0.790,0.031,0.036,0.009,3.079,-31.283,-40.975
16:57:26:459,0.790,0.064,0.000,0.037,2.841,-31.141,-40.936
16:57:26:46,0.791,0.029,0.091,0.014,2.573,-31.014,-40.687
16:57:26:461,0.792,0.024,0.020,0.025,2.384,-30.811,-40.025
16:57:27:269,1.600,0.036,0.016,0.000,1.828,-30.773,-39.166
16:57:27:27,1.601,0.020,0.016,0.011,1.791,-30.794,-39.161
16:57:27:271,1.602,0.011,0.034,0.007,1.762,-30.781,-39.205
16:57:27:457,1.788,0.008,0.038,0.000,1.939,-30.674,-39.546
16:57:27:772,2.103,0.011,0.055,0.009,1.827,-30.987,-40.115
16:57:27:772,2.103,0.006,0.014,0.009,1.924,-30.975,-40.175
16:57:27:773,2.104,0.004,0.006,0.007,2.029,-30.968,-40.265
16:57:28:27,2.601,0.027,0.019,0.011,1.690,-31.249,-40.901
16:57:28:271,2.602,0.037,0.079,0.029,1.632,-31.243,-41.051
16:57:28:271,2.602,0.026,-0.014,0.022,1.611,-31.219,-40.966
16:57:28:718,3.049,-0.003,0.026,0.008,1.077,-30.382,-40.999
16:57:28:719,3.050,0.025,0.018,0.031,0.926,-30.451,-40.742
16:57:28:719,3.050,0.019,-0.010,0.021,0.846,-30.446,-40.686
16:57:28:743,3.074,0.033,0.034,0.030,0.821,-30.448,-40.844
16:57:28:743,3.074,0.027,0.062,0.013,0.788,-30.429,-40.967
16:57:28:744,3.075,0.009,0.033,0.001,0.797,-30.365,-40.854
16:57:28:744,3.075,0.036,0.030,0.022,0.885,-30.252,-40.790
16:57:28:899,3.230,-0.003,-0.015,-0.001,1.045,-30.118,-40.631
16:57:28:9,3.231,-0.008,-0.030,-0.002,1.135,-30.007,-40.584
16:57:28:901,3.232,0.003,-0.021,-0.005,1.237,-29.870,-40.691
16:57:28:901,3.232,-0.015,-0.038,-0.016,1.223,-29.812,-40.696
16:57:29:06,3.391,0.009,0.013,0.009,0.923,-29.948,-41.266
16:57:29:06,3.391,0.006,0.009,0.008,0.841,-30.007,-41.177
16:57:29:06,3.391,0.020,0.024,0.016,0.763,-30.018,-41.180
16:57:29:085,3.416,0.017,0.015,0.017,0.792,-29.961,-41.148
16:57:29:085,3.416,0.015,0.012,0.006,0.858,-29.824,-41.126
16:57:29:085,3.416,0.022,0.007,0.000,0.922,-29.719,-41.148
16:57:29:086,3.417,0.010,-0.038,-0.018,0.984,-29.547,-41.098
16:57:29:215,3.546,0.007,0.018,-0.009,0.948,-29.415,-41.276
16:57:29:215,3.546,-0.014,0.014,0.001,0.888,-29.357,-41.327
16:57:29:216,3.547,-0.014,0.032,-0.003,0.750,-29.367,-41.355
16:57:29:217,3.548,0.002,0.027,0.016,0.681,-29.409,-41.346
16:57:29:241,3.572,0.006,0.010,0.003,0.620,-29.494,-41.219
16:57:29:242,3.573,0.013,0.028,0.023,0.567,-29.586,-41.210
16:57:29:242,3.573,0.012,0.005,0.019,0.558,-29.634,-41.167
16:57:29:243,3.574,0.026,0.023,0.022,0.537,-29.675,-41.168
16:57:29:531,3.862,0.033,0.106,0.046,0.365,-29.480,-42.095
16:57:29:531,3.862,0.003,-0.007,-0.004,0.403,-29.366,-41.858
16:57:29:532,3.863,-0.011,-0.004,0.004,0.446,-29.271,-41.570
16:57:29:556,3.887,0.016,0.099,0.010,0.474,-29.155,-41.480
16:57:29:557,3.888,0.000,-0.015,-0.010,0.491,-29.124,-41.293
16:57:29:557,3.888,-0.003,0.025,-0.009,0.519,-29.153,-41.110
16:57:29:558,3.889,-0.001,-0.009,-0.009,0.506,-29.222,-41.138
