now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:05:14:20:33,down_90_60_,0.6732046604156494,0.475737,0.3989602,0.9229771,0.514755,0.4564718,0.7332283,0.51094985,0.44609094,0.72461534,0.51475286,0.56105584,0.06359361,0.0,0.0,0.0,0.51490927,0.46176326,0.87554836,0.51481634,0.5612313,0.9032408,0.49528858,0.6500359,0.91074455,0.51093614,0.64495844,0.6793232,0.50312227,0.6448987,0.634032,0.5109597,0.77051437,0.63629997,0.5148551,0.8961722,0.57387626,0.51487833,0.64509183,0.87117004,0.51106834,0.7706807,0.8151193,0.5149692,0.9015537,0.8317951,0.47173342,0.3935117,0.7644232,0.48358274,0.3935733,0.9484955,0.0,0.0,0.0,0.51471746,0.39355543,0.92970794,0.47951993,0.91197425,0.70950043,0.487382,0.927818,0.7534586,0.52288586,0.9173357,0.7121369,0.47958913,0.901781,0.19105671,0.4874202,0.9016345,0.15776868,0.5267243,0.9015592,0.2597146,-1.00,172.38062696969348,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,0.806847333908081,0.47556964,0.3989318,0.9216314,0.51472557,0.4564618,0.7454153,0.51095927,0.44597012,0.75298995,0.5147939,0.5560164,0.08022843,0.0,0.0,0.0,0.51488924,0.46688363,0.8808048,0.5148279,0.5612742,0.9062054,0.49529684,0.65007716,0.9079671,0.5109136,0.64497477,0.6606444,0.50318366,0.6449091,0.6169812,0.51106066,0.77053154,0.63616884,0.51493686,0.8961043,0.5626004,0.51480097,0.6451195,0.8515423,0.5109724,0.7707562,0.8052459,0.51496357,0.90158045,0.83694535,0.46785548,0.39346737,0.5638945,0.48339742,0.39357436,0.9330373,0.0,0.0,0.0,0.51082444,0.39355773,0.88770753,0.47950953,0.91198844,0.70794463,0.4873746,0.9278342,0.75443,0.52289575,0.91735363,0.71828777,0.47961774,0.90173084,0.18446244,0.48749083,0.9016057,0.14921767,0.53442526,0.90147746,0.26259986,-1.00,172.99571321234532,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,0.8906233310699463,0.47180083,0.39878085,0.91455114,0.5149345,0.45648834,0.74538374,0.5187725,0.44621253,0.7163363,0.5149164,0.5559981,0.06793726,0.0,0.0,0.0,0.5147876,0.46180966,0.87949854,0.51104724,0.5613551,0.88515604,0.48766068,0.650103,0.9329839,0.514914,0.64518875,0.7501019,0.5186973,0.6451642,0.7022401,0.5149626,0.77053976,0.69868153,0.5149817,0.89624447,0.60572475,0.5147509,0.6500939,0.84580886,0.51082265,0.7708525,0.7971791,0.51485616,0.90170807,0.84792036,0.0,0.0,0.0,0.48330116,0.39343172,0.91480213,0.0,0.0,0.0,0.5032047,0.3935237,0.894588,0.4756866,0.9069344,0.75993514,0.48358655,0.92771435,0.8032783,0.52271944,0.92258555,0.7787238,0.47964877,0.9017266,0.19917458,0.48750144,0.90164447,0.15850645,0.5306236,0.9016637,0.28233796,-1.00,173.38288337421196,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,0.9833753108978271,0.47559735,0.39396423,0.9147334,0.51495785,0.45142838,0.73053926,0.51875407,0.44619083,0.7054253,0.5148739,0.5560797,0.06449087,0.0,0.0,0.0,0.51488304,0.46168262,0.88209444,0.5147153,0.56120545,0.87495637,0.48763517,0.65003085,0.92760485,0.51481,0.64507246,0.69382644,0.5149435,0.6450511,0.65839237,0.514715,0.7705629,0.6216214,0.51484483,0.8963333,0.576381,0.5147307,0.64516026,0.8243606,0.51089454,0.7708111,0.8077973,0.5149244,0.9017359,0.8411533,0.47574106,0.3936355,0.056591254,0.4833436,0.38851273,0.91427594,0.0,0.0,0.0,0.50699407,0.39352918,0.8988198,0.47947356,0.91198546,0.7357395,0.48365828,0.92783415,0.7868363,0.5227871,0.922561,0.7552621,0.4795698,0.90176004,0.20857178,0.48740274,0.90167415,0.16286613,0.52664447,0.9017144,0.2579171,-1.00,172.1862306498025,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.0482017993927002,0.47568378,0.39881197,0.9206814,0.51500154,0.45645624,0.7293019,0.51504564,0.44624156,0.6949656,0.5150131,0.5561059,0.08421329,0.0,0.0,0.0,0.51502997,0.4617093,0.876203,0.5148888,0.5612009,0.91193414,0.49142206,0.65005505,0.92547905,0.51098675,0.64493805,0.6290902,0.510843,0.64489514,0.59327066,0.49927577,0.77059793,0.590341,0.511034,0.8963411,0.55957144,0.51476663,0.6450931,0.8290085,0.5109241,0.77071786,0.8052994,0.514971,0.90171313,0.84205973,0.47943696,0.39358404,0.06738183,0.4834285,0.39345616,0.93398845,0.0,0.0,0.0,0.5108557,0.39357963,0.92050254,0.4756786,0.90696985,0.7619563,0.4836545,0.9277852,0.8069015,0.52288413,0.92252856,0.74720025,0.47564864,0.90172994,0.2353455,0.48348603,0.9016262,0.18700415,0.5189704,0.9016789,0.23109105,-1.00,172.5455055403627,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.1220054626464844,0.47570112,0.39883673,0.92077243,0.51499444,0.45646137,0.7271879,0.51503146,0.4462407,0.6957485,0.515,0.56106085,0.086166196,0.0,0.0,0.0,0.5150292,0.4617534,0.87912583,0.514932,0.56127083,0.9244251,0.4914643,0.6500657,0.92369336,0.5109637,0.64501107,0.63542724,0.5070858,0.64494836,0.59923565,0.49923286,0.77062684,0.60209674,0.5110077,0.89634854,0.5653012,0.51478237,0.64518285,0.8425845,0.510946,0.7707639,0.81113917,0.5149825,0.9017194,0.8472248,0.47946912,0.3936045,0.067581646,0.48344174,0.3934885,0.93985516,0.0,0.0,0.0,0.5108791,0.3935933,0.92566675,0.475676,0.90697944,0.7601528,0.48365647,0.9277964,0.80600286,0.52289045,0.9225315,0.75532895,0.47565284,0.90172184,0.23767537,0.4834854,0.90161484,0.19079815,0.51893777,0.90167737,0.23234902,-1.00,172.49101439433858,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.2037858963012695,0.4757271,0.39883873,0.92442256,0.51488286,0.45658442,0.7640654,0.51093143,0.45122305,0.7260884,0.5109496,0.5610825,0.07804695,0.0,0.0,0.0,0.5187391,0.46691978,0.89707386,0.514978,0.5611911,0.91516614,0.49150124,0.6500231,0.93027043,0.50711584,0.6449613,0.6593491,0.49916598,0.644835,0.63121605,0.49525157,0.77063614,0.651504,0.5109115,0.8963401,0.5971237,0.5148105,0.6451727,0.86013365,0.5109073,0.7707549,0.8133415,0.5150096,0.90169585,0.843417,0.4794654,0.39357835,0.06914347,0.48344967,0.39349082,0.9427923,0.0,0.0,0.0,0.5109196,0.39360252,0.9312688,0.47946033,0.9070071,0.7497517,0.4873425,0.92780626,0.798062,0.52289665,0.92249227,0.7465734,0.47567645,0.90167695,0.2684817,0.48345107,0.90153563,0.22091511,0.51887244,0.90166944,0.25679797,-1.00,151.0777795785523,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.2775888442993164,0.47943354,0.39876214,0.9244565,0.5148744,0.46167013,0.7755422,0.5108946,0.451256,0.7293427,0.5109248,0.5611071,0.07059963,0.0,0.0,0.0,0.5187449,0.46698418,0.90175176,0.51495,0.56123215,0.91796976,0.49147302,0.6500958,0.9293504,0.507092,0.64512223,0.688642,0.4953309,0.6449772,0.6643243,0.49523205,0.7706959,0.6789377,0.5109232,0.8963342,0.6184125,0.5148131,0.65013677,0.868915,0.5109411,0.7708227,0.82027036,0.5150535,0.90169764,0.84318244,0.4794758,0.3935591,0.06649188,0.48347533,0.3934271,0.9345829,0.0,0.0,0.0,0.510942,0.3936368,0.9388976,0.479494,0.9119986,0.7501152,0.48737794,0.9327767,0.7979462,0.5266474,0.92249423,0.7464184,0.47570744,0.9016662,0.28523076,0.4834598,0.90151566,0.23748042,0.51890814,0.9016496,0.26751953,-1.00,135.46117521181682,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.3394238948822021,0.4794371,0.3987362,0.92630213,0.51488477,0.4617008,0.7737589,0.5109482,0.4512513,0.7288814,0.5109997,0.5611386,0.067057,0.0,0.0,0.0,0.51873815,0.46703014,0.8993785,0.51493186,0.5612865,0.92025524,0.4914693,0.6501101,0.9261635,0.5071058,0.6451591,0.6821792,0.49537855,0.6450111,0.65372455,0.4953187,0.7706987,0.6513372,0.51094157,0.89633137,0.596351,0.51480246,0.6501811,0.8646795,0.510979,0.7708601,0.82058823,0.5150437,0.90168744,0.845842,0.47945216,0.39349705,0.071697116,0.48348033,0.39340523,0.93544704,0.0,0.0,0.0,0.51094365,0.39363632,0.9381609,0.47950292,0.91198725,0.7488527,0.48737293,0.9327642,0.792428,0.5266434,0.9224706,0.74232924,0.4757115,0.9016867,0.26569507,0.48348302,0.90153,0.21850102,0.51889914,0.90164083,0.25449863,-1.00,135.65954116776678,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022:01:05:14:20:33,down_90_60_,1.419210433959961,0.47946614,0.39871436,0.9291572,0.51489913,0.45663583,0.7670872,0.51100457,0.4512426,0.7283533,0.51104915,0.56114125,0.069273934,0.0,0.0,0.0,0.5187359,0.46696687,0.89493465,0.51493114,0.56126714,0.9169786,0.4914772,0.6500891,0.9263045,0.50709635,0.6451047,0.6681768,0.4991601,0.6449751,0.6387408,0.4953167,0.770691,0.640521,0.51094604,0.89634746,0.58774567,0.51477844,0.6501207,0.85535145,0.51096386,0.7708523,0.81580997,0.5150396,0.9017083,0.8451075,0.47948813,0.39343315,0.080095395,0.48350853,0.38856757,0.93548036,0.0,0.0,0.0,0.5109654,0.39361447,0.93647194,0.47950375,0.912005,0.7461405,0.48736623,0.93278325,0.7926605,0.5266414,0.9225088,0.7431945,0.47571513,0.9017017,0.26082534,0.48349166,0.9015445,0.21316741,0.5188968,0.90166944,0.24951692,-1.00,151.15934919348675,-1,-1,-1,-1,-1,-1,-1,-1,-1
