now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck,
2022:01:05:09:32:01,up_60_30_,0.663231373,0.51484704,0.36246222,0.927989,0.5149224,0.44100565,0.9642336,0.47167018,0.44076297,0.9130557,0.42062527,0.47730607,0.88490343,0.36181214,0.48793587,0.8484412,0.55807745,0.44598833,0.8827116,0.613028,0.47748443,0.9181796,0.66793436,0.4878727,0.8624813,0.51476264,0.6241039,0.8564003,0.48354745,0.6189526,0.86684114,0.48728767,0.7601547,0.90525734,0.48757666,0.8910928,0.9107728,0.5423325,0.629289,0.81620854,0.5267776,0.7653437,0.8617759,0.5228504,0.89115727,0.8825165,0.507051,0.35706383,0.933731,0.51886135,0.3571192,0.97706276,0.48761037,0.3727196,0.77447355,0.5383945,0.3728717,0.8275198,0.5267591,0.9173465,0.8146166,0.54638535,0.9119859,0.8353944,0.51889807,0.9014585,0.745815,0.48740384,0.92241013,0.85211897,0.47568724,0.91196764,0.8219789,0.4952334,0.90136194,0.8051146,-1,165.7162072,-1,-1,-1,-1,156.4399017,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,0.780915976,0.51484495,0.36245522,0.92806065,0.51492965,0.44099987,0.9643283,0.47168106,0.44076058,0.9137852,0.42057502,0.47737265,0.8869705,0.36169025,0.4881464,0.8412558,0.55808496,0.44598857,0.88216186,0.6130177,0.47754863,0.9209665,0.667945,0.4879881,0.85727596,0.51474845,0.62408745,0.85627925,0.4835396,0.6189294,0.86804,0.48728448,0.7601579,0.9049655,0.48757318,0.8910994,0.9120882,0.54231244,0.6292777,0.81544137,0.5267756,0.7653484,0.8628995,0.5228603,0.89117444,0.88278246,0.50704753,0.35705972,0.9340556,0.51886237,0.3571073,0.9771816,0.48760733,0.3727182,0.7731141,0.53841126,0.37284818,0.8319922,0.5267717,0.91735786,0.8147964,0.5463997,0.91199064,0.8360409,0.5189039,0.90147614,0.7444363,0.48740593,0.92242616,0.8548734,0.47568828,0.9119831,0.82263833,0.49522918,0.9013636,0.80602974,-1,165.6721756,-1,-1,-1,-1,156.3758446,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,0.857711792,0.5148234,0.362464,0.92585367,0.51481736,0.44102454,0.9591127,0.46779102,0.4408259,0.90973043,0.4205789,0.47769806,0.8930899,0.3617328,0.5089366,0.8536585,0.5541854,0.44597512,0.89996666,0.6091607,0.47763827,0.9239781,0.66409355,0.49321744,0.829948,0.51469445,0.62409276,0.8478374,0.4834851,0.62399405,0.8628784,0.48364592,0.7601593,0.9099587,0.48756075,0.89105874,0.9077481,0.54225814,0.62924194,0.8054007,0.5266912,0.76531947,0.8692561,0.52284783,0.8960703,0.8948424,0.507007,0.3570608,0.93161255,0.51881146,0.35714167,0.9814477,0.48753035,0.37270683,0.84545374,0.534478,0.37801275,0.80275995,0.5305615,0.922499,0.8137306,0.5464065,0.91210204,0.83163345,0.5188895,0.9015685,0.7539912,0.48742422,0.9224663,0.8569463,0.47571272,0.9120321,0.82780045,0.4915023,0.89657205,0.80118144,-1,163.9077002,-1,-1,-1,-1,147.0493803,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,0.919546604,0.5148435,0.3625202,0.9217702,0.5148299,0.4410206,0.96093524,0.46786675,0.44082937,0.9080173,0.42077664,0.4776763,0.91893506,0.3619572,0.513962,0.8712257,0.55416083,0.44116288,0.9010411,0.60907686,0.47764468,0.91473484,0.6600565,0.4983709,0.8104894,0.5147031,0.6240708,0.849668,0.48350695,0.6189667,0.86548984,0.48365924,0.76013607,0.9098874,0.48757103,0.8910564,0.9069221,0.54225653,0.62921476,0.80722594,0.5267094,0.76527977,0.86605966,0.5228485,0.8960362,0.8922656,0.50703603,0.35709855,0.93237793,0.5188269,0.35718316,0.97696924,0.48753712,0.3727206,0.8567859,0.53448635,0.37802845,0.7930919,0.52675754,0.9224673,0.8212247,0.5463804,0.9120928,0.8382386,0.51890504,0.9015342,0.7500546,0.48744944,0.92246,0.8570134,0.47942752,0.9120352,0.8290766,0.49151653,0.8965762,0.7980994,-1,151.828013,-1,-1,-1,-1,145.1408516,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,0.981381416,0.5148468,0.36250627,0.92413485,0.5148253,0.4410201,0.96164393,0.46783185,0.44084573,0.9090283,0.42078915,0.4825337,0.9189559,0.36587337,0.51400334,0.84740335,0.5541594,0.44115406,0.9058702,0.6090615,0.47772402,0.9118338,0.6562121,0.49849108,0.8062023,0.5146948,0.6241003,0.8499827,0.48350364,0.6240042,0.865275,0.48366207,0.7601468,0.9100459,0.48757112,0.8910568,0.9068823,0.54224014,0.6292463,0.8076386,0.5266978,0.7653106,0.86893046,0.5228532,0.8960613,0.89426154,0.507038,0.35709137,0.9325757,0.5188289,0.3571744,0.976218,0.48754328,0.37272614,0.85567045,0.5344816,0.3780289,0.7919709,0.52675277,0.92249644,0.8215203,0.5463768,0.91212785,0.83604985,0.51890814,0.9015633,0.7494723,0.4874293,0.92247045,0.8573388,0.47572505,0.91203415,0.8284374,0.4915165,0.8965775,0.79696304,-1,150.8662277,-1,-1,-1,-1,144.1270711,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.043216228,0.51487285,0.36249247,0.9262142,0.51481736,0.4410209,0.9605806,0.46784765,0.44085214,0.90626657,0.4208397,0.48260355,0.9169433,0.36969393,0.51413536,0.84966683,0.5541389,0.44114903,0.9069449,0.6090404,0.48256263,0.9182702,0.6561771,0.50884116,0.80713844,0.51467866,0.6241215,0.8475824,0.48348373,0.6240269,0.86365116,0.4836483,0.76016784,0.9114157,0.48758096,0.8910452,0.9048522,0.542224,0.62927175,0.805698,0.52668816,0.7653242,0.8687548,0.5228597,0.89604664,0.8916818,0.5070726,0.3570836,0.9334127,0.5188523,0.35717094,0.9734197,0.48756182,0.37268803,0.86429995,0.5344876,0.37801713,0.78479266,0.52672577,0.9224783,0.8209798,0.5463635,0.9121109,0.8343439,0.5189265,0.9015343,0.7472886,0.48742446,0.92246044,0.8602073,0.47572434,0.91202515,0.82907194,0.4952295,0.896573,0.7954439,-1,146.6263945,-1,-1,-1,-1,143.0484844,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.103055,0.5148741,0.36249408,0.9271867,0.51481116,0.44103712,0.96070236,0.46782282,0.44089305,0.9041374,0.42067063,0.4827716,0.9086303,0.3658661,0.5192256,0.8533443,0.55412096,0.4411463,0.9122886,0.60888773,0.48257557,0.9044461,0.6523398,0.514024,0.83736736,0.5146824,0.6241338,0.8492786,0.48347643,0.6240427,0.8631841,0.4836589,0.76011187,0.90898263,0.4875723,0.8910266,0.9062097,0.54223794,0.6292838,0.8099679,0.52669936,0.76531434,0.868534,0.52286786,0.8960494,0.8911546,0.5070723,0.35708818,0.93435645,0.5188501,0.35716665,0.9749209,0.48756453,0.37271628,0.8648965,0.53448856,0.3780073,0.78632367,0.5267542,0.9224694,0.81799895,0.5463893,0.91209596,0.83234215,0.5189269,0.9015518,0.74852616,0.48741916,0.9224359,0.86128813,0.47571698,0.9119991,0.8313184,0.49521825,0.8965671,0.7991111,-1,143.5840009,-1,-1,-1,-1,142.2895469,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.17087388,0.51488906,0.3624501,0.931457,0.5148013,0.4410186,0.9618879,0.46780738,0.44089162,0.9060506,0.42070037,0.48288622,0.9063152,0.36574268,0.5195174,0.89674896,0.55409026,0.44114617,0.9120979,0.60514146,0.4826282,0.89762723,0.6483143,0.5141209,0.8676435,0.5146973,0.62415093,0.8506351,0.48348317,0.6240592,0.8629726,0.48363918,0.76013774,0.909965,0.48757514,0.89104575,0.9053731,0.5422532,0.629302,0.8123406,0.5267049,0.76531583,0.8682589,0.52288,0.8960615,0.88987684,0.50708634,0.35705367,0.9345528,0.51887316,0.35713807,0.97456336,0.48756832,0.37268546,0.8647285,0.53451467,0.37799734,0.7850193,0.52675706,0.92247343,0.8192048,0.54638845,0.9121042,0.8353279,0.518939,0.9015614,0.74794614,0.4874022,0.92245066,0.859211,0.47569337,0.9120122,0.8295591,0.49523354,0.8965786,0.7961105,-1,142.4289173,-1,-1,-1,-1,142.2362259,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.236698151,0.51489675,0.3624728,0.9326752,0.5147999,0.44100627,0.9629105,0.46784675,0.44088376,0.9029023,0.42075202,0.4829351,0.8999093,0.36963412,0.5195032,0.86988646,0.55044734,0.44114432,0.91382563,0.60517865,0.48273897,0.90402,0.64838254,0.5190626,0.86652684,0.5147091,0.624146,0.8520383,0.48349437,0.6240566,0.8633965,0.48365188,0.76015604,0.9104652,0.48758316,0.89102536,0.90204954,0.5422657,0.62929624,0.8143421,0.52671957,0.7653342,0.86814517,0.52286845,0.89603245,0.8859455,0.5070981,0.35707387,0.93748474,0.51887846,0.35715136,0.9757723,0.4875838,0.37271237,0.86634284,0.5345296,0.37800124,0.7900858,0.52669495,0.92244065,0.81641054,0.54634666,0.9120807,0.8295694,0.5189318,0.9015175,0.7487021,0.4874057,0.92243016,0.86023104,0.4757085,0.9119877,0.83065516,0.49524567,0.8965586,0.79252195,-1,141.7157544,-1,-1,-1,-1,141.1731483,-1,-1,-1,-1
2022:01:05:09:32:02,up_60_30_,1.31449008,0.5149224,0.3624164,0.9397814,0.51483333,0.44103387,0.9621214,0.4716719,0.44090107,0.9008354,0.420685,0.4830237,0.8905766,0.36575478,0.524528,0.87211543,0.55411446,0.44597054,0.90726286,0.6088957,0.48280025,0.8969269,0.65224457,0.5192973,0.86275625,0.5147698,0.62931246,0.85984534,0.48353723,0.6241765,0.8642653,0.4836742,0.76018935,0.91029966,0.48759276,0.89096195,0.89782536,0.5423453,0.63445413,0.82525885,0.5267286,0.7654184,0.87176824,0.52287436,0.8911584,0.88627285,0.5071232,0.35703582,0.9372147,0.5189069,0.35710973,0.97232914,0.48761106,0.37269944,0.86227036,0.53455615,0.3779737,0.7854029,0.52673274,0.91736746,0.81829137,0.5463776,0.91199845,0.8414108,0.5189505,0.90144897,0.74728143,0.48748273,0.9172757,0.8584267,0.47943923,0.90697455,0.8351521,0.49523443,0.89649457,0.79555786,-1,150.3945405,-1,-1,-1,-1,141.5308264,-1,-1,-1,-1
