now_time,trils,duration,0_Nose,,,1_Neck,,,2_RShoulder,,,3_RElbow,,,4_RWrist,,,5_LShoulder,,,6_LElbow,,,7_LWrist,,,8_MidHip,9_RHip,,,10_RKnee,,,11_RAnkle,,,12_LHip,,,13_LKnee,,,14_LAnkle,,,15_REye,,,16_LEye,,,17_REar,18_LEar,,,19_LBigToe,,,20_LSmallToe,,,21_LHeel,,,22_RBigToe,,,23_RSmallToe,,,24_RHeel,,,25_Background,,,26_A_Lneck,27_A_Lshoulder,28_A_Lelbow,29_A_Lhip,30_A_Lknee,31_A_Rneck,32_A_Rshoulder,33_A_Relbow,34_A_Rhip,35_A_Rknee,36_A_middle_left_neck
2022:01:04:16:40:46,up_60_30_,0.7002625465393066,0.48755005,0.46172667,0.9074597,0.5031107,0.5192449,0.9163746,0.46390802,0.51923084,0.91342455,0.42069766,0.5558662,0.87288904,0.36582637,0.57703936,0.81981313,0.5385128,0.5191629,0.9117662,0.5855707,0.5506783,0.8413411,0.6402916,0.5822565,0.86847216,0.5030919,0.66588384,0.8364262,0.4796364,0.66080505,0.8640706,0.48335546,0.7760481,0.96849006,0.47571096,0.90139544,0.8939064,0.522771,0.6658887,0.8625424,0.51876193,0.77607834,0.97294414,0.51870394,0.896522,0.97496057,0.48727578,0.4461823,0.9115028,0.49534827,0.4461705,0.88885957,0.48332575,0.4617377,0.28374285,0.51495177,0.46694243,0.8613229,0.5190491,0.93790543,0.93045264,0.5422791,0.9327588,0.8181924,0.514731,0.9017953,0.7872325,0.48332196,0.93306726,0.90439236,0.46006802,0.92782915,0.83503443,0.47953975,0.90179074,0.8227012,-1.00,148.07209961582595,-1,-1,-1,-1,149.46469274145574,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,0.8019905090332031,0.48359686,0.46705985,0.91578656,0.50310165,0.5191878,0.90883094,0.46395528,0.5192271,0.9087682,0.42067862,0.5558486,0.8777627,0.36579874,0.57707185,0.8226022,0.5384904,0.5191354,0.9024708,0.5817928,0.5506987,0.8618767,0.63650304,0.5873172,0.8349216,0.5030843,0.6658995,0.83539504,0.4796089,0.6608306,0.8631905,0.48335096,0.7760085,0.96966404,0.47570714,0.90137047,0.8917901,0.52278715,0.6659031,0.85776234,0.518754,0.77602726,0.97252655,0.51870924,0.89648956,0.97528857,0.48337913,0.4513891,0.82829386,0.48754203,0.45131657,0.91349113,0.0,0.0,0.0,0.5147004,0.4618059,0.8309375,0.5190178,0.9379026,0.9353156,0.5422595,0.93277144,0.819003,0.5147473,0.9017585,0.78738225,0.48334098,0.93302137,0.89783585,0.46008453,0.9277773,0.82575434,0.47954118,0.901752,0.8215073,-1.00,145.09103358011487,-1,-1,-1,-1,149.54616554248102,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,0.8698091506958008,0.51084626,0.44608262,0.9093501,0.50312895,0.5192429,0.9044101,0.4601161,0.51913214,0.89312255,0.42055982,0.55583555,0.8487797,0.36580035,0.5821749,0.82018656,0.5422898,0.51912886,0.9180299,0.5817059,0.55581665,0.8712175,0.63260907,0.58752203,0.82127213,0.50307345,0.66078794,0.83218163,0.47955045,0.660704,0.8610623,0.48334724,0.77598584,0.97397405,0.4757005,0.901419,0.89617443,0.5228125,0.66079706,0.8549006,0.5187379,0.77598697,0.97782105,0.5187202,0.89654845,0.9743546,0.49531293,0.44074723,0.9322568,0.5148763,0.4408855,0.97350866,0.48368776,0.45132524,0.85086817,0.51894045,0.4618419,0.7566729,0.51906866,0.93798375,0.93777645,0.5423037,0.9328705,0.83151394,0.5147668,0.9018298,0.7879886,0.48331624,0.93794584,0.91509825,0.46006358,0.93282396,0.85045177,0.47953063,0.90181977,0.8222566,-1.00,142.69879135323245,-1,-1,-1,-1,146.09282253835204,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,0.9396226406097412,0.5108569,0.44604805,0.9119461,0.50314605,0.5192465,0.902478,0.4638262,0.5191211,0.8897517,0.42061618,0.5559104,0.8599262,0.36575618,0.58732814,0.81180596,0.5422766,0.51916325,0.91929555,0.5817317,0.55085903,0.8675426,0.63266194,0.592548,0.8253382,0.5031243,0.6608232,0.8318272,0.4796065,0.6607216,0.8629483,0.4833727,0.77602357,0.9768884,0.47566456,0.901383,0.89523077,0.522837,0.6608525,0.85089386,0.5187559,0.77602696,0.9760786,0.51872855,0.90133065,0.9721113,0.49537933,0.44069117,0.9225045,0.5149139,0.4408813,0.97310185,0.48730397,0.44629025,0.82792807,0.51896715,0.4618521,0.7765345,0.5190432,0.93799603,0.9293028,0.5422857,0.932905,0.82071877,0.5147796,0.90671563,0.7837813,0.4832853,0.93792474,0.9122441,0.4600262,0.93278056,0.8558066,0.47950628,0.90177584,0.8211072,-1.00,140.80458012712455,-1,-1,-1,-1,144.99891278646848,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.0034801959991455,0.5109078,0.44598818,0.9199624,0.5031624,0.51926297,0.9051087,0.46382684,0.5191593,0.8936676,0.4205749,0.5559312,0.8586307,0.36202908,0.5874,0.8252913,0.5422786,0.5191477,0.9163953,0.5818243,0.5559339,0.8696046,0.6364568,0.58746564,0.82791996,0.50316405,0.6658785,0.83104295,0.4796493,0.6607825,0.86526513,0.48336792,0.77608335,0.9660302,0.4756668,0.90146774,0.89428943,0.52285886,0.66589946,0.8443983,0.5187956,0.7760141,0.9719016,0.5187622,0.8965036,0.97710943,0.49914354,0.4406749,0.9209372,0.51492643,0.44083613,0.9688855,0.48731038,0.45127314,0.8442409,0.5189544,0.4618506,0.7442866,0.5190712,0.93308115,0.9087024,0.5423304,0.9278158,0.8094058,0.51480883,0.901781,0.7999168,0.4833096,0.9379847,0.92095137,0.46005845,0.9328927,0.8547175,0.47952262,0.9067142,0.81543,-1.00,143.8735867014006,-1,-1,-1,-1,146.01287473970064,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.0692760944366455,0.5109077,0.44605097,0.9149645,0.50315744,0.51926047,0.905633,0.46013334,0.5191606,0.89491665,0.4205468,0.550875,0.84564644,0.361965,0.5822468,0.8242419,0.5422517,0.51917034,0.91745067,0.5854832,0.5507677,0.8600722,0.63653165,0.58224565,0.84810984,0.5031972,0.66602534,0.8332682,0.48328882,0.66591954,0.8632634,0.4833765,0.776121,0.96143234,0.47564965,0.9015159,0.89436275,0.5228705,0.66605735,0.84336555,0.5187735,0.77608925,0.966275,0.51874584,0.8965443,0.976972,0.49916834,0.44071093,0.91811347,0.5149363,0.44090092,0.9668463,0.48733062,0.4512858,0.83427507,0.51896715,0.46694246,0.7631841,0.5190692,0.9379289,0.9215458,0.5423157,0.93278503,0.81715095,0.514796,0.90181893,0.79216343,0.48330683,0.93801296,0.92343843,0.46005172,0.9329226,0.858745,0.47949916,0.90676856,0.81229186,-1.00,146.08454789592002,-1,-1,-1,-1,147.14093341233877,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.1291160583496094,0.51089007,0.44605845,0.91283894,0.5069693,0.51927775,0.9071213,0.4638229,0.5192263,0.8968712,0.42052788,0.5508648,0.8359866,0.36198148,0.5822376,0.82315135,0.5423358,0.519178,0.92656803,0.5894358,0.5559016,0.85085785,0.64041454,0.58229357,0.85010284,0.5031916,0.66602343,0.83266026,0.48327282,0.6659184,0.8598763,0.48337862,0.776115,0.96134293,0.47564462,0.90149695,0.895043,0.5228794,0.6660549,0.8423919,0.5187832,0.7761048,0.96577907,0.518741,0.8965536,0.977532,0.4953963,0.44071546,0.9192586,0.51492536,0.4409003,0.9669259,0.4873161,0.45129904,0.8337789,0.5189767,0.46694735,0.7757825,0.5190664,0.937941,0.92652094,0.5423085,0.9328038,0.82089335,0.51479244,0.9018295,0.7931713,0.4833019,0.9379956,0.91921484,0.46004364,0.932889,0.8534755,0.47949713,0.9067461,0.8139495,-1.00,147.07627360402424,-1,-1,-1,-1,148.1857990659179,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.1909511089324951,0.5109272,0.44618034,0.90711254,0.5071085,0.51929295,0.9136478,0.46395534,0.51919,0.88759434,0.42062163,0.5507122,0.84850913,0.36578178,0.5769782,0.8237089,0.5424477,0.5191981,0.93121755,0.5895296,0.5507742,0.8326552,0.6404424,0.5769297,0.86577535,0.50319946,0.66596705,0.83417886,0.47967356,0.66084033,0.86121064,0.4833702,0.776063,0.9670639,0.47564802,0.9015247,0.8929533,0.52288216,0.66601694,0.8448522,0.51878786,0.77608305,0.96466094,0.5187471,0.8965683,0.9769439,0.4991835,0.44081423,0.91785735,0.5149463,0.44098958,0.9690703,0.48734012,0.45135635,0.83310246,0.5190362,0.4669555,0.7723861,0.5190659,0.93796325,0.9118304,0.54232395,0.93282133,0.8114586,0.5147921,0.9018363,0.7876718,0.4833574,0.93801093,0.92671716,0.46009842,0.9329217,0.84739727,0.47948793,0.9067801,0.8095474,-1.00,149.34265249117894,-1,-1,-1,-1,149.3808576920828,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.2538111209869385,0.5110166,0.44620848,0.9122672,0.5071061,0.51930577,0.91548705,0.46393475,0.5192198,0.889791,0.42051756,0.54563105,0.8309134,0.36198786,0.5769502,0.8233626,0.5424483,0.51921463,0.93295574,0.5933644,0.5455149,0.81204844,0.6404643,0.57187784,0.8781643,0.506967,0.66602063,0.83426386,0.4832967,0.6658909,0.8614349,0.48338205,0.77607614,0.9662311,0.4756978,0.9014776,0.89794636,0.5228907,0.6711084,0.8419104,0.5187947,0.7761327,0.9599745,0.5187583,0.8965614,0.9753691,0.4992461,0.44083244,0.9186212,0.5149924,0.44100127,0.9679185,0.4873356,0.4514024,0.8447415,0.5190643,0.4669672,0.7153368,0.5190676,0.9379085,0.9056156,0.5423203,0.93276644,0.8063881,0.51480836,0.9018394,0.7853718,0.48336974,0.93794596,0.9173893,0.46010974,0.93283087,0.83932257,0.4795239,0.9067262,0.81460434,-1.00,151.60347956268066,-1,-1,-1,-1,150.36396610275148,-1,-1,-1,-1
2022:01:04:16:40:46,up_60_30_,1.313626766204834,0.5110264,0.44618428,0.9152781,0.50712615,0.519294,0.9157485,0.46395573,0.5192244,0.8887883,0.4167953,0.54558694,0.8195481,0.36187622,0.5718541,0.84282666,0.5424317,0.5191789,0.92706954,0.5895662,0.53510994,0.8223736,0.6404708,0.56648785,0.9164888,0.5069809,0.66598886,0.8345269,0.48330793,0.66085726,0.8616526,0.48338744,0.77606636,0.9666182,0.475713,0.9014223,0.8985418,0.5229051,0.66605854,0.84042555,0.5187916,0.7761197,0.9604071,0.51875854,0.8965492,0.97466874,0.4992576,0.44082427,0.9199639,0.5149974,0.44097912,0.97153836,0.48734742,0.4514079,0.8497233,0.51906806,0.46690613,0.72152865,0.5190411,0.9330895,0.90514517,0.5423096,0.93276644,0.8037772,0.514813,0.9018207,0.78497225,0.4833871,0.9379205,0.91666436,0.46382195,0.9328043,0.8368889,0.47952715,0.9018161,0.82044363,-1.00,154.0535075418036,-1,-1,-1,-1,152.63307349028133,-1,-1,-1,-1
