Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
08:13:52:159,0.000,0.018,-0.006,0.005,28.282,-66.479,19.636
08:13:52:159,0.000,0.007,0.014,-0.003,28.305,-66.452,19.744
08:13:52:211,0.052,0.029,-0.013,0.001,28.291,-66.428,19.745
08:13:52:212,0.053,0.019,-0.004,0.007,28.293,-66.423,19.738
08:13:52:294,0.135,0.018,-0.012,0.010,28.329,-66.436,19.736
08:13:52:294,0.135,0.018,-0.019,0.013,28.313,-66.438,19.725
08:13:52:295,0.136,0.015,-0.002,0.001,28.315,-66.384,19.823
08:13:52:394,0.235,0.014,-0.010,0.002,28.302,-66.359,19.876
08:13:52:428,0.269,0.018,-0.012,0.002,28.294,-66.362,19.852
08:13:52:429,0.270,0.014,-0.016,0.011,28.280,-66.353,19.859
08:13:52:429,0.270,0.009,-0.003,-0.001,28.271,-66.325,19.905
08:13:52:429,0.270,0.016,-0.012,0.002,28.244,-66.284,19.968
08:13:52:474,0.315,0.014,0.003,-0.003,28.230,-66.282,19.974
08:13:52:475,0.316,0.014,0.009,0.007,28.219,-66.280,19.945
08:13:52:554,0.395,0.024,0.001,0.012,28.183,-66.243,19.932
08:13:52:555,0.396,0.015,0.000,-0.006,28.188,-66.203,19.981
08:13:52:608,0.449,0.009,0.013,-0.004,28.204,-66.169,20.032
08:13:52:609,0.450,0.026,-0.010,-0.003,28.185,-66.150,20.000
08:13:52:609,0.450,0.021,-0.007,-0.007,28.165,-66.110,19.988
08:13:52:683,0.524,0.005,-0.009,-0.014,28.236,-66.088,20.066
08:13:52:743,0.584,0.005,-0.003,-0.001,28.249,-66.108,20.040
08:13:52:744,0.585,0.012,-0.029,0.012,28.238,-66.117,19.972
08:13:52:744,0.585,0.015,-0.010,0.003,28.251,-66.108,20.020
08:13:52:873,0.715,0.013,-0.003,0.006,28.191,-66.119,20.047
08:13:52:875,0.716,0.022,0.003,0.005,28.128,-66.107,20.032
08:13:52:876,0.717,0.020,0.016,0.002,28.115,-66.082,20.085
08:13:52:876,0.717,0.018,0.012,0.001,28.093,-66.079,20.089
08:13:52:923,0.765,0.013,0.009,0.002,28.059,-66.084,20.060
08:13:52:924,0.766,0.014,-0.001,-0.006,28.069,-66.043,20.105
08:13:53:001,0.842,0.016,-0.003,-0.010,28.078,-66.013,20.132
08:13:53:001,0.842,0.009,-0.003,-0.002,28.087,-66.004,20.138
08:13:53:054,0.895,0.000,-0.011,-0.013,28.113,-65.999,20.154
08:13:53:054,0.895,0.008,-0.004,-0.004,28.154,-66.001,20.189
08:13:53:055,0.896,0.012,-0.010,0.002,28.152,-66.012,20.170
